"","feature","frequency"
"1","the",19864
"2","to",10801
"3","and",10076
"4","a",9215
"5","of",8367
"6","in",6635
"7","i",5674
"8","that",4189
"9","for",4117
"10","is",4053
"11","it",3335
"12","on",3096
"13","you",2990
"14","with",2867
"15","was",2649
"16","as",2174
"17","this",2148
"18","at",2100
"19","be",2068
"20","but",1990
"21","have",1965
"22","my",1935
"23","he",1908
"24","are",1858
"25","not",1614
"26","from",1613
"27","we",1590
"28","so",1364
"29","by",1344
"30","said",1322
"31","they",1315
"32","or",1283
"33","his",1242
"34","will",1220
"35","all",1175
"36","me",1156
"37","about",1146
"38","an",1144
"39","out",1109
"40","has",1104
"41","one",1098
"42","up",1092
"43","what",1046
"44","just",1041
"45","who",1023
"46","if",1017
"47","when",1013
"48","your",986
"49","more",971
"50","had",956
"51","can",953
"52","her",926
"53","like",903
"54","their",891
"55","do",874
"56","would",856
"57","she",854
"58","there",818
"59","time",812
"60","get",773
"61","our",764
"62","some",747
"63","no",731
"64","been",726
"65","new",697
"66","were",695
"67","how",635
"68","which",633
"69","now",624
"70","it's",613
"71","than",598
"72","day",596
"73","into",595
"74","people",586
"75","them",585
"76","other",566
"77","after",563
"78","know",562
"79","good",558
"80","also",555
"81","only",549
"82","love",538
"83","first",537
"84","its",521
"85","over",508
"86","back",494
"87","him",492
"88","last",487
"89","going",485
"90","make",483
"91","i'm",476
"92","two",467
"93","year",467
"94","because",465
"95","then",461
"96","think",458
"97","could",453
"98","go",450
"99","see",443
"100","us",436
"101","much",430
"102","well",420
"103","way",420
"104","very",410
"105","work",408
"106","years",405
"107","want",395
"108","most",392
"109","did",391
"110","even",390
"111","really",388
"112","don't",385
"113","great",380
"114","many",377
"115","those",374
"116","may",364
"117","off",362
"118","where",361
"119","am",358
"120","these",354
"121","too",352
"122","life",352
"123","any",349
"124","before",349
"125","got",347
"126","made",347
"127","being",343
"128","through",342
"129","right",339
"130","while",333
"131","here",333
"132","little",332
"133","still",326
"134","never",316
"135","down",314
"136","take",311
"137","need",306
"138","today",306
"139","say",301
"140","around",294
"141","home",290
"142","next",284
"143","things",280
"144","come",280
"145","school",280
"146","--",278
"147","something",277
"148","since",275
"149","another",275
"150","should",264
"151","every",261
"152","best",257
"153","such",255
"154","three",253
"155","few",252
"156","why",252
"157","week",249
"158","state",243
"159","night",242
"160","always",238
"161","long",237
"162","thanks",237
"163","game",237
"164","again",235
"165","city",235
"166","it’s",233
"167","same",233
"168","own",231
"169","show",226
"170","better",225
"171","world",223
"172","big",223
"173","help",223
"174","each",222
"175","lot",219
"176","look",217
"177","that's",216
"178","find",212
"179","does",212
"180","both",211
"181","put",211
"182","end",208
"183","part",206
"184","family",206
"185","man",206
"186","thing",203
"187","feel",203
"188","book",202
"189","use",199
"190","high",199
"191","million",199
"192","away",197
"193","place",197
"194","says",197
"195","days",196
"196","didn't",195
"197","until",193
"198","start",193
"199","can't",191
"200","getting",190
"201","found",190
"202","though",189
"203","used",186
"204","against",186
"205","during",185
"206","happy",185
"207","house",183
"208","keep",182
"209","went",180
"210","season",180
"211","came",179
"212","doing",177
"213","times",175
"214","i've",175
"215","live",174
"216","told",173
"217","sure",172
"218","team",171
"219","play",168
"220","old",168
"221","took",165
"222","ever",165
"223","might",165
"224","enough",164
"225","done",164
"226","story",162
"227","already",161
"228","second",160
"229","lol",160
"230","rt",160
"231","hope",159
"232","let",159
"233","between",158
"234","small",158
"235","yet",157
"236","hard",157
"237","looking",155
"238","you're",154
"239","making",152
"240","left",152
"241","friends",151
"242","called",151
"243","don’t",151
"244","without",149
"245","someone",149
"246","having",149
"247","top",148
"248","tell",148
"249","free",147
"250","point",146
"251","give",146
"252","police",146
"253","different",146
"254","everyone",145
"255","thought",144
"256","under",143
"257","business",143
"258","public",142
"259","run",142
"260","room",141
"261","set",141
"262","u",139
"263","actually",138
"264","read",138
"265","once",138
"266","pretty",137
"267","call",137
"268","children",135
"269","fun",135
"270","morning",134
"271","trying",134
"272","money",133
"273","five",133
"274","far",133
"275","course",132
"276","case",131
"277","least",131
"278","percent",131
"279","started",130
"280","makes",130
"281","try",130
"282","center",130
"283","check",129
"284","bad",129
"285","thank",129
"286","i’m",129
"287","early",128
"288","along",128
"289","bit",128
"290","later",127
"291","white",127
"292","god",127
"293","name",127
"294","believe",126
"295","food",126
"296","must",126
"297","he's",125
"298","music",125
"299","yes",124
"300","four",123
"301","kind",122
"302","less",122
"303","myself",121
"304","change",121
"305","blog",121
"306","kids",121
"307","president",121
"308","young",120
"309","water",120
"310","group",120
"311","side",119
"312","past",119
"313","able",119
"314","games",119
"315","working",118
"316","tonight",118
"317","probably",118
"318","please",118
"319","others",118
"320","minutes",117
"321","person",117
"322","half",117
"323","post",116
"324","hours",116
"325","several",116
"326","friend",116
"327","anything",116
"328","company",116
"329","job",116
"330","however",115
"331","real",115
"332","fact",115
"333","often",115
"334","talk",115
"335","law",115
"336","wanted",114
"337","st",114
"338","national",113
"339","pay",113
"340","seen",112
"341","care",112
"342","oh",112
"343","month",112
"344","weekend",112
"345","including",112
